Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Pillar","West Side > Orchard Rock > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105875441/the-pillar,1.5,-1,Sport,"5.10d R",1,,47.54052,-120.51925
Tortoise,"Upper Martian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/110260132/tortoise,2.0,-1,Sport,5.8,1,70,47.54188,-120.52071
"Grey Whale","Upper Martian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105877013/grey-whale,2.0,-1,Sport,5.8+,1,,47.54188,-120.52071
"Humpback Whale","Upper Martian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/110260143/humpback-whale,1.0,-1,Sport,5.8+,1,70,47.54188,-120.52071
"Baseball Nut","Upper Martian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105877007/baseball-nut,1.2,-1,Sport,5.9,1,,47.54188,-120.52071
Harpoonist,"Upper Martian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/110259256/harpoonist,2.3,-1,Sport,5.10b,1,70,47.54188,-120.52071
"Potholes Direct Direct","West Side > Dinosaur Tower > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105874969/potholes-direct-direct,2.7,-1,Sport,5.10a,1,,47.5427,-120.52013
Washboard,"West Side > Dinosaur Tower > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105874961/washboard,2.7,-1,Sport,5.10c,1,100,47.5427,-120.52013
"Dr. Leakey","Northwest Side > Dinosaur Tower > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105874955/dr-leakey,2.0,-1,Sport,5.11b,1,,47.5431,-120.52032
"Booby Vinton","Sunset Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105877265/booby-vinton,1.8,-1,Sport,5.5,1,,47.54349,-120.52075
Sunset,"Sunset Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/113526619/sunset,1.4,-1,Sport,5.5,1,80,47.54349,-120.52075
"National Velvet","Sunset Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/108963486/national-velvet,1.8,-1,Sport,5.6,1,,47.54349,-120.52075
"Tippy Toes","Sunset Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/118731153/tippy-toes,2.0,-1,Sport,5.8,1,50,47.54349,-120.52075
"Velvet Elvis","Sunset Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/120745248/velvet-elvis,3.0,-1,Sport,5.8,1,110,47.54349,-120.52075
"West Face","Southwest Side > Grand Central Tower > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105875473/west-face,2.5,-1,Sport,5.8,1,,47.54322,-120.52187
"West Face Direct","Southwest Side > Grand Central Tower > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105877908/west-face-direct,2.8,-1,Sport,5.10a,1,,47.54322,-120.52187
"Shady Lane","Southwest Side > Grand Central Tower > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/115163377/shady-lane,2.7,-1,Sport,5.10a,1,100,47.54322,-120.52187
"Mexican Fiesta","Austrian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/123427880/mexican-fiesta,2.0,-1,Sport,5.7,1,70,47.54221,-120.52122
Slakin',"Austrian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105877153/slakin,2.0,-1,Sport,"5.8 R",1,,47.54221,-120.52122
"Slender Thread","Austrian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105874889/slender-thread,2.8,-1,Sport,"5.9+ R",1,,47.54221,-120.52122
"Fakin' It","Austrian Slab > Peshastin Pinnacles State Park > Central-East Cascades, Wenatchee, & Leavenworth > Washington",https://www.mountainproject.com/route/105874893/fakin-it,2.6,-1,Sport,"5.10a R",1,,47.54221,-120.52122
