,Start Time
0,2023-10-22 18:40:42
1,2023-10-22 17:51:14
2,2023-10-22 17:47:23
3,2023-10-22 04:04:07
4,2023-10-22 03:43:53
5,2023-10-22 03:23:31
6,2023-10-22 03:02:32
7,2023-10-22 02:42:06
8,2023-10-22 02:20:48
9,2023-10-22 01:59:25
10,2023-10-22 01:40:33
11,2023-10-22 01:21:04
12,2023-10-22 01:00:56
13,2023-10-22 00:41:22
14,2023-10-22 00:20:47
15,2023-10-22 00:01:23
16,2023-10-21 23:40:19
17,2023-10-21 23:18:05
18,2023-10-21 23:00:34
19,2023-10-21 22:39:18
20,2023-10-21 22:27:59
21,2023-10-20 20:58:47
22,2023-10-20 20:38:05
23,2023-10-20 20:16:36
24,2023-10-20 19:55:54
25,2023-10-20 19:35:49
26,2023-10-20 19:15:59
27,2023-10-20 18:55:32
28,2023-10-20 18:35:48
29,2023-10-18 20:31:22
30,2023-10-17 20:09:06
31,2023-10-17 19:40:54
32,2023-10-17 18:45:49
33,2023-10-17 06:12:51
34,2023-10-16 23:04:29
35,2023-10-16 21:58:51
36,2023-10-16 20:29:11
37,2023-10-16 20:25:52
38,2023-10-16 18:20:30
39,2023-10-16 18:13:37
40,2023-10-16 18:10:24
41,2023-10-15 20:12:15
42,2023-10-15 19:51:13
43,2023-10-15 19:30:54
44,2023-10-15 19:01:08
45,2023-10-15 18:46:09
46,2023-10-15 14:06:46
47,2023-10-15 10:21:42
48,2023-10-15 10:08:36
49,2023-10-15 08:56:22
50,2023-10-15 08:07:49
51,2023-10-15 07:14:01
52,2023-10-14 21:51:18
53,2023-10-14 21:08:03
54,2023-10-14 20:49:41
55,2023-10-14 07:05:25
56,2023-10-14 06:35:31
57,2023-10-14 06:14:07
58,2023-10-14 05:52:43
59,2023-10-14 05:32:33
60,2023-10-14 05:11:02
61,2023-10-14 04:49:02
62,2023-10-14 04:27:51
63,2023-10-14 04:06:17
64,2023-10-14 03:45:20
65,2023-10-14 03:25:40
66,2023-10-14 03:04:25
67,2023-10-14 02:42:43
68,2023-10-14 02:22:39
69,2023-10-14 02:01:18
70,2023-10-14 01:39:46
71,2023-10-14 01:20:15
72,2023-10-14 00:58:30
73,2023-10-14 00:37:50
74,2023-10-14 00:16:42
75,2023-10-13 23:55:01
76,2023-10-13 20:22:13
77,2023-10-13 20:01:30
78,2023-10-13 19:40:40
79,2023-10-13 19:23:04
80,2023-10-13 08:40:14
81,2023-10-13 07:10:09
82,2023-10-13 07:05:40
83,2023-10-13 07:03:13
84,2023-10-12 20:01:22
85,2023-10-12 19:40:11
86,2023-10-12 19:19:51
87,2023-10-12 18:58:48
88,2023-10-12 18:36:47
89,2023-10-12 18:14:29
90,2023-10-12 17:54:10
91,2023-10-12 17:31:23
92,2023-10-12 17:17:15
93,2023-10-07 13:39:40
94,2023-10-06 20:23:03
95,2023-10-06 17:11:10
96,2023-10-06 16:01:41
97,2023-10-04 11:30:33
98,2023-10-04 10:57:32
99,2023-10-04 10:11:28
100,2023-10-04 08:30:00
101,2023-10-04 08:09:42
102,2023-10-04 08:08:58
103,2023-10-04 08:06:43
104,2023-10-04 00:06:58
105,2023-10-03 23:24:00
106,2023-10-03 22:40:42
107,2023-10-03 21:55:56
108,2023-10-03 21:15:01
109,2023-10-03 20:29:10
110,2023-10-03 19:52:11
111,2023-10-03 19:51:10
112,2023-10-03 19:39:00
113,2023-10-02 22:09:44
114,2023-10-02 21:26:59
115,2023-10-02 20:41:19
116,2023-10-02 20:08:41
117,2023-10-02 20:05:17
118,2023-10-02 20:04:07
119,2023-10-02 17:20:42
120,2023-10-02 16:25:21
121,2023-10-02 15:30:34
122,2023-10-02 15:16:37
123,2023-10-02 15:04:31
124,2023-10-02 14:21:26
125,2023-10-02 13:38:28
126,2023-10-02 12:55:27
127,2023-10-02 12:12:56
128,2023-10-02 11:17:53
129,2023-10-02 10:28:59
130,2023-10-02 09:35:19
131,2023-10-02 08:28:16
132,2023-10-01 15:19:03
133,2023-10-01 14:10:59
134,2023-10-01 13:22:58
135,2023-10-01 11:29:04
136,2023-10-01 10:45:45
137,2023-10-01 10:02:42
138,2023-10-01 09:20:18
139,2023-10-01 08:31:03
140,2023-10-01 08:30:42
141,2023-10-01 04:10:10
142,2023-10-01 03:49:55
143,2023-10-01 03:29:46
144,2023-10-01 03:09:54
145,2023-10-01 02:48:42
146,2023-10-01 02:25:46
147,2023-10-01 02:05:07
148,2023-10-01 01:58:02
149,2023-10-01 01:18:52
150,2023-10-01 00:35:25
151,2023-09-30 23:52:52
152,2023-09-30 23:09:43
153,2023-09-30 10:17:37
154,2023-09-30 06:13:24
155,2023-09-30 05:52:51
156,2023-09-30 05:52:13
157,2023-09-30 00:15:10
158,2023-09-29 23:21:37
159,2023-09-29 22:25:31
160,2023-09-29 17:51:28
161,2023-09-28 22:13:11
162,2023-09-28 21:26:08
163,2023-09-28 17:28:00
164,2023-09-28 16:49:39
165,2023-09-28 16:18:41
166,2023-09-28 14:47:29
167,2023-09-28 14:16:03
168,2023-09-28 13:57:11
169,2023-09-28 13:36:08
170,2023-09-28 13:35:44
171,2023-09-25 17:41:03
172,2023-09-25 16:34:56
173,2023-09-25 15:20:49
174,2023-09-25 15:00:29
175,2023-09-25 13:33:00
176,2023-09-25 12:25:56
177,2023-09-25 10:44:58
178,2023-09-25 09:18:33
179,2023-09-24 19:12:33
180,2023-09-22 20:34:56
181,2023-09-22 20:13:05
182,2023-09-22 20:12:29
183,2023-09-22 19:51:26
184,2023-09-22 19:46:02
185,2023-09-22 14:25:28
186,2023-09-22 14:24:01
187,2023-09-22 12:55:59
188,2023-09-22 12:48:42
189,2023-09-22 12:00:30
190,2023-09-22 11:11:19
191,2023-09-22 11:08:22
192,2023-09-22 00:30:48
193,2023-09-22 00:09:48
194,2023-09-21 23:48:42
195,2023-09-21 23:26:53
196,2023-09-21 23:05:31
197,2023-09-21 22:43:10
198,2023-09-21 22:22:47
199,2023-09-21 22:02:22
200,2023-09-21 21:40:26
201,2023-09-21 21:00:15
202,2023-09-21 20:38:31
203,2023-09-21 20:14:52
204,2023-09-21 20:00:09
205,2023-09-21 19:11:51
206,2023-09-21 19:06:44
207,2023-09-21 15:13:26
208,2023-09-21 14:23:32
209,2023-09-21 14:03:08
210,2023-09-18 18:06:31
211,2023-09-18 17:48:35
212,2023-09-18 17:41:38
213,2023-09-16 20:30:21
214,2023-09-16 20:10:25
215,2023-09-08 22:52:59
216,2023-09-08 22:33:01
217,2023-09-08 22:12:36
218,2023-09-08 21:53:31
219,2023-09-08 21:33:56
220,2023-09-08 21:13:24
221,2023-09-08 20:54:26
222,2023-09-08 20:35:38
223,2023-09-08 20:15:40
224,2023-09-08 19:55:09
225,2023-09-08 19:29:29
226,2023-09-08 18:58:33
227,2023-09-07 13:14:18
228,2023-09-07 12:25:01
229,2023-09-07 11:34:52
230,2023-09-07 11:01:09
231,2023-09-07 10:37:41
232,2023-09-06 22:46:41
233,2023-09-06 22:34:24
234,2023-09-05 20:30:44
235,2023-09-01 02:46:59
236,2023-09-01 02:04:20
237,2023-09-01 01:07:35
238,2023-09-01 00:27:37
239,2023-08-31 23:26:46
240,2023-08-31 22:30:16
241,2023-08-31 22:09:28
242,2023-08-31 16:16:47
243,2023-08-31 15:44:09
244,2023-08-31 15:00:22
245,2023-08-31 13:47:18
246,2023-08-31 13:14:57
247,2023-08-31 13:14:31
248,2023-08-31 13:13:53
249,2023-08-31 13:10:52
250,2023-08-30 23:09:32
251,2023-08-30 22:18:38
252,2023-08-30 21:46:36
253,2023-08-29 21:59:30
254,2023-08-29 21:14:44
255,2023-08-29 20:26:36
256,2023-08-29 19:44:53
257,2023-08-29 19:22:48
258,2023-08-29 19:21:08
259,2023-08-28 23:37:09
260,2023-08-28 23:16:40
261,2023-08-28 22:56:07
262,2023-08-28 22:34:42
263,2023-08-28 22:15:03
264,2023-08-28 21:55:52
265,2023-08-28 21:36:13
